"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z"
-2.89679232569909,0,378.0819672,20.5410939,51.30081301,27.21526373,14.664692,1.680204929,16826.90041,3.514034218,"herb","Nicotiana"
-2.27108642593467,0,707.751693,20.72733316,23.78439631,27.22451068,13.5908018,0.946875387,20520.17208,3.419499567,"herb","Nicotiana"
-2.43497428103979,1,704.8461538,14.79497762,27.25416667,19.6897876,8.1361628,0.951101923,18321.17917,4.25509511,"herb","Nicotiana"
-2.2876964805003,1,722.1846847,16.25914858,52.11328321,21.32372503,10.0160707,1.091212164,16970.26128,3.535795548,"herb","Nicotiana"
-3.01593498087151,0,371.3063063,18.83148241,32.22123894,26.76481759,10.9104121,1.117484544,18595.6824,2.994532808,"herb","Nicotiana"
-2.76780020550798,1,715,20.88770222,18.00793651,28.27162112,13.79909846,0.880441135,20839.97619,4.059612814,"herb","Nicotiana"
-3.91202300542815,1,660.04,24.49383336,29.47587719,32.97516861,18.45103547,1.158717247,22110.39474,3.022262034,"herb","Nicotiana"
-1.59948758158093,0,649.9056604,9.684903381,77.70795796,20.76737281,6.08618879,1.130686547,16739.27928,2.655824732,"herb","Nicotiana"
-2.2730262907525,0,712.4658972,20.44647842,21.70179312,26.73660798,13.14342783,0.958508603,20094.21427,3.429132406,"herb","Nicotiana"
-3.17008566069877,1,704.2222222,18.787024,125.2748227,24.00137553,13.8638744,1.644573572,15226.75709,2.758931236,"herb","Petunia"
-2.12026353620009,1,272.4102564,10.05844238,61.56538171,12.28114613,4.503308789,0.95125218,10789.96391,3.724881113,"herb","Petunia"
-3.01593498087151,1,414.5549133,17.72283264,47.99374022,24.83167814,9.834969392,1.169571144,17699.9554,2.823457223,"herb","Petunia"
-4.15409456662788,0,709.6428571,15.6455642,135.4966667,20.26969482,10.26851422,1.418694284,13849.35917,2.413401403,"herb","Petunia"
-2.39689577246529,0,716.1666667,19.8413034,119.627451,24.10257743,13.72675506,1.60407362,15526.53105,3.039754914,"herb","Petunia"
-2.04022082852655,0,709,14.57058097,137.3020833,19.56637909,9.574795656,1.360508275,13989.99219,2.644619806,"herb","Petunia"
-2.2730262907525,0,695.0344828,17.2032155,143.9871795,23.1326225,11.09279083,1.529037796,14650.40224,2.189979938,"herb","Petunia"
-2.67364877438488,0,674.4390244,19.33769528,119.7012712,24.35371626,13.05750187,1.650467981,15397.78531,2.842351409,"herb","Petunia"
-2.20047987005689,0,639.6986301,17.76768582,115.3737542,22.41692596,12.47054022,1.583243299,14572.19158,3.045618213,"herb","Petunia"
-2.23492644452023,0,702.2777778,18.61152769,160.2743446,24.42471396,12.10705241,1.577585536,15305.82865,2.369203413,"herb","Petunia"
-2.00248050054371,0,719,19.291758,124.25,23.292948,15.288783,1.8325092,14559.66667,3.392125,"herb","Petunia"
-1.69826912614072,0,673.5,17.47895483,137.968254,21.77299338,9.919700548,1.483589624,14718.73016,2.053156662,"herb","Petunia"
