"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z","PC1","PC2","PC3","PC4","PC5","PC6"
0.932164081,1,476.6995448,18.87756106,86.84761905,24.39132376,12.69521691,1.489219385,9.75793129298144,3.038838939,"herb","Bidens",2.49836929615212,-1.53879367995532,-0.641590027571591,0.108184195572391,-0.137400087304305,0.00556235871421799
0.788389176,1,235.7656877,7.830539498,64.0629561,12.1939552,3.406767669,0.888931123,9.31969467434024,3.722461562,"herb","Bidens",-1.93785440727427,0.420092324206984,-0.144964739340894,0.664923552870292,-0.0019555209836394,0.0553554330631741
0.336472237,1,295.2236842,10.44589019,91.24088542,15.74472353,4.676906917,1.057644291,9.52020619636018,3.436228122,"herb","Bidens",-0.810916484656653,-0.523302872582369,-0.603793848935142,-0.227789113704802,-0.256914559901889,0.126728220603254
1.589235205,1,266.4266589,9.833739514,71.19384442,14.50545253,5.211034713,0.986467827,9.41474052291126,3.628959164,"herb","Bidens",-1.1302804918405,-0.0040533853098783,-0.196638428585278,0.437780732557275,0.009652361731133,0.0278542384792313
0.76033843,0,428.1398176,16.43754054,89.00058685,23.42622321,10.79852363,1.397006103,9.70624916435127,2.959978546,"herb","Bidens",1.89883842536649,-1.26251476055832,-0.850826161933999,-0.0316810225090162,-0.114690173573901,0.1511851554971
0.21511138,0,423.0298103,18.21547677,76.43534483,25.44011264,11.25097055,1.369208822,9.78245816994299,2.335271502,"herb","Bidens",2.60724573801464,-0.536849678489108,-1.34109165587323,-0.184591646518733,-0.0300148241613163,0.113933113987363
0.405465108,1,529.4954219,19.89808315,107.7039982,25.20547379,14.57339256,1.735189398,9.74521534587385,2.76357462,"herb","Bidens",3.14120842015743,-2.66218323374278,-1.32922734337225,0.31041548321904,-0.239138759709402,-0.0561361566380501
0.784266774,1,584.0740741,21.01782725,67.56884058,27.56011252,14.38524454,1.543287887,9.82893109636694,2.600561557,"herb","Bidens",3.59157734636976,-0.981900643648034,-0.821424240581227,0.318595119200151,-0.064950713246918,0.0340449900389226
1.205659381,0,287.28,9.111925898,76.37222222,14.90224423,4.068678358,1.013833012,9.48864794605395,3.717871264,"herb","Bidens",-1.09311609220256,-0.133571745018762,-0.125214971781426,0.0861234290602378,-0.348485202210172,0.157674033019359
0.832909123,1,232.8024967,8.401747411,65.29941176,12.40132869,4.353523636,0.918049442,9.28832594920703,3.632091525,"herb","Bidens",-1.79824486237064,0.285478796179856,-0.285436363012759,0.841798939251371,0.165778048868106,1.31511807465318e-05
1.971522199,1,274.5512821,8.024015295,68.91194969,13.74679228,2.569549624,0.912222874,9.49536334039243,3.923143846,"herb","Bidens",-1.56553106772181,0.299069018507741,0.219500669940924,-0.0323513019725561,-0.469062448374957,0.179109678075093
2.895204506,1,476.3918919,15.10730761,56.6091954,19.91787283,9.380534017,1.103382585,9.72518034146371,3.141830621,"herb","Carthamus",1.12382786922395,0.292069415871637,-0.122441053689543,-0.0406558215166331,-0.0387705990949205,-0.290387341869479
3.387774361,0,376,17.44756933,64.25,24.04129,9.960063,1.2388521,9.89837031528246,1.90775,"herb","Carthamus",2.61226422870091,0.438423081587348,-1.58549661004334,-0.668637479041248,-0.238598560712516,-0.23331860977294
2.397895273,1,499.0093184,14.78100258,49.93184022,20.3826176,9.287211993,1.087188536,9.69863024532138,3.403262214,"herb","Carthamus",1.02619217898458,0.380097687614301,0.264279901896546,0.145999439957939,-0.00672666054552596,-0.132798019367238
2.791165108,1,350.7555556,20.14231289,17.56521739,26.79814109,14.25027146,1.267201267,9.87142145934099,2.713266322,"herb","Carthamus",3.49466088140498,0.989453333820137,0.122685231934346,0.591179898047493,0.156328983277401,-0.249866671030086
2.654508768,0,354.4285714,19.67304314,8.854166667,26.194142,12.61506238,1.07103175,9.88860865874515,2.959724,"herb","Carthamus",2.90772815893757,1.66917936366244,0.619423926718381,0.248550048787452,0.251898942984721,-0.171191663246395
2.824647349,1,346.6707317,19.33939474,37.23062016,24.68777851,13.39208666,1.351438715,9.846498652622,2.933065119,"herb","Carthamus",3.03433728534805,0.187894890136008,0.0205252558446838,0.501596829237829,-0.153001218090429,-0.304552359037618
