Genus,Species_Epither,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,Growth_source
Hyoscyamus,reticulatus,0.8,333.3913043,15.50489941,23.32522477,10.86218957,1.109718631,18801.09677,2.766561484,22.98655914,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=12413&Num=A64,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802515
Lycium,acutifolium,0.657,716.5333333,19.83054759,25.67977854,14.10152885,1.705984572,17154.3756,2.835600854,70.62198068,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=53139&Num=5Oo,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/7375125
Lycium,americanum,0.62,645.9711538,21.46953533,27.51571309,15.01938945,1.772131443,16609.87248,2.765780367,66.6255814,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=53140&Num=qY3,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,amoenum,9.5584,723.7105263,17.86729127,24.70537476,10.65450763,1.023934699,20159.77288,3.482346022,15.08986928,SI,shrub,Kew_SID,Goldberg et al. (2010),Annelise le Roux(2015),http://data.kew.org/sid/SidServlet?ID=39259&Num=3pb,https://science.sciencemag.org/content/330/6003/493,https://books.google.co.jp/books?id=rBBbDwAAQBAJ&pg=PT1409&lpg=PT1409&dq=Lycium%09amoenum+shrub&source=bl&ots=2nPULe2OPx&sig=ACfU3U2a51FK4fShJfOk9_GlI7-wcLlO7g&hl=ja&sa=X&ved=2ahUKEwjYldSTovvoAhXGFIgKHeV2CVwQ6AEwCnoECAsQAQ#v=onepage&q=Lycium%09amoenum%20shrub&f=false
Lycium,andersonii,2.1128,338.7615894,18.53045231,27.02195731,10.89330717,0.834164682,19252.09436,3.209678044,20.65054311,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14576&Num=h9u,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,australe,1.3824,733.0865103,17.90004942,24.09720199,11.19103543,1.035714125,19118.15572,4.003462369,23.41308793,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=39258&Num=Y3L,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3798360
Lycium,barbarum,1.7,251.7553011,9.53410716,13.39964198,6.014123443,0.995795444,10750.61114,4.601502321,60.08970963,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=14577&Num=DSo,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/2928835
Lycium,berlandieri,1.38,366.6329588,19.39481971,27.94322666,11.48420916,1.063191931,18705.66856,3.02415464,29.58805477,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=39257&Num=XM0,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,brevipes,0.569,372.2985075,21.1514732,27.46682208,13.99167531,1.514075501,18632.23467,3.019531545,19.40804598,SI,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14578&Num=P64,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,bridgesii,1.882,754,9.1271207,14.89460763,3.359269585,0.677471982,18929.27917,3.355682255,31.9125,SI,shrub,Kew_SID,Goldberg et al. (2011),,http://data.kew.org/sid/SidServlet?ID=14578&Num=P65,https://science.sciencemag.org/content/330/6003/494,https://www.gbif.org/
Lycium,californicum,3.804,352.4647887,18.80021236,23.34887105,11.96118391,1.248744829,17987.78303,3.196454063,22.00600601,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14578&Num=P66,https://science.sciencemag.org/content/330/6003/495,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,carolinianum,0.6156,389.9882353,22.59995935,27.00183104,17.01377053,2.029751342,17126.10098,3.99364245,88.41372549,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14580&Num=S15,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,chinense,2.652,288.9246411,11.80391633,15.15153324,7.19736881,1.124374625,11857.86732,3.62408558,78.89154511,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14582&Num=376,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,cinereum,1.9848,712.9135802,17.50505407,25.23437188,9.770711295,1.090724348,19967.02055,2.80685794,37.23767123,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=39254&Num=7A3,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/7448084
Lycium,cooperi,2.557,327.9066667,16.38625353,24.52943934,8.731020775,0.671765015,19254.48294,3.689492697,22.14435695,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14583&Num=ZHw,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,decumbens,7.1468,697.9473684,18.76568784,25.058487,11.60869306,1.228230003,19577.09804,3.881905376,8.519607843,SI,shrub,Kew_SID,Goldberg et al. (2010),CJB_African Plant Database,http://data.kew.org/sid/SidServlet?ID=39262&Num=UpT,https://science.sciencemag.org/content/330/6003/493,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=119612
Lycium,deserti,2.7592,699.8,15.0029954,20.88617433,9.512911483,0.995894417,19401.54167,4.412123983,12.69444444,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=39252&Num=PHR,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3797586
Lycium,eenii,1.0816,676,19.24667003,27.24551912,10.76137752,0.937487624,21217.93537,2.689394971,21.43197279,SI,shrub,Kew_SID,Goldberg et al. (2010),CJB_African Plant Database,http://data.kew.org/sid/SidServlet?ID=53143&Num=uS9,https://science.sciencemag.org/content/330/6003/493,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=119616
Lycium,europaeum,1.7632,305.3955056,15.00994546,20.65913876,10.0236706,1.204393187,16028.02196,3.264966118,44.00350501,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=14585&Num=N29,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3797421
Lycium,ferocissimum,2.536,743.0921758,16.17860934,20.6638632,11.14279404,1.178333499,17359.35012,5.040914085,40.2856721,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14587&Num=dX3,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,fremontii,1.47964,350.9491525,20.69232963,28.71502421,12.49836288,0.931078813,19351.16254,2.933691373,21.25938438,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=44460&Num=FTa,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,halimifolium,1.75,279.0740741,9.859449044,15.64295959,4.731232193,0.982903261,13567.38793,3.38346391,81.88505747,SC,shrub,Kew_SID,Goldberg et al. (2010),Royal British Columbia Museum(1996),http://data.kew.org/sid/SidServlet?ID=14588&Num=347,https://science.sciencemag.org/content/330/6003/493,https://books.google.co.jp/books?id=2pzdJ8eddAEC&pg=PA314&lpg=PA314&dq=Lycium%09halimifolium+shrub&source=bl&ots=peYc6D0NgM&sig=ACfU3U0F95pI9H_a-xt6U45RnKF9i5BJcQ&hl=ja&sa=X&ved=2ahUKEwj70ITG5unoAhUP7GEKHVaYBAcQ6AEwC3oECAsQLw#v=onepage&q=Lycium%09halimifolium%20shrub&f=false
Lycium,horridum,1.6876,717.2287234,17.31160256,24.8682109,9.487783771,1.054859123,19937.93279,3.009729098,31.45498783,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=53144&Num=l00,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3796932
Lycium,intricatum,1.4356,336.5645933,18.03105012,23.06404467,13.85267634,1.494866487,17806.93347,4.127345016,22.25922096,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=60349&Num=c65,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3796884
Lycium,mascarenense,0.567,683.3333333,22.69463975,24.85839512,18.68470465,2.077097388,18215.40686,3.765746024,98.53921569,SI,shrub,Kew_SID,Goldberg et al. (2010),Andor M.Venter et al. (1999),http://data.kew.org/sid/SidServlet?ID=14589&Num=9Y0,https://science.sciencemag.org/content/330/6003/493,https://www.sciencedirect.com/science/article/pii/S0254629915310346?via%3Dihub
Lycium,megacarpum,1.4844,378.7777778,20.80151746,27.16687,13.41052014,1.576885871,19052.57143,2.665857757,13.6547619,SC,shrub,Kew_SID,Goldberg et al. (2010),Richard Stephen Felger et al. (2013),http://data.kew.org/sid/SidServlet?ID=60028&Num=lfd,https://science.sciencemag.org/content/330/6003/493,https://books.google.co.jp/books?id=A2UOWUc0esMC&pg=PA475&lpg=PA475&dq=Lycium+megacarpum+shrub&source=bl&ots=_kwZFPg6d0&sig=ACfU3U2C_Np2IrL8rZHC8NKcAGzncvVCsA&hl=ja&sa=X&ved=2ahUKEwjYlOXv6OnoAhUNQd4KHW1ADN8Q6AEwCnoECAsQLw#v=onepage&q=Lycium%20megacarpum%20shrub&f=false
Lycium,nodosum,0.58,627.3421053,22.87202266,28.26719332,16.96247758,1.954324191,16261.12202,2.946432995,58.34375,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14590&Num=po6,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,oxycarpum,1.0388,731.1717172,17.05098154,23.97182346,9.89605526,1.08885535,19287.59885,3.107439741,29.17068965,SC,shrub,Kew_SID,Goldberg et al. (2010),JSTOR_Global Plants,http://data.kew.org/sid/SidServlet?ID=14591&Num=513,https://science.sciencemag.org/content/330/6003/493,https://plants.jstor.org/compilation/lycium.oxycarpum
Lycium,pilifolium,2.6944,712.254902,17.5520552,25.83755267,9.230330548,0.980629909,20533.58676,2.858011411,28.78196347,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=53145&Num=Ja8,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802959
Lycium,richii,0.33,366.9565217,21.295018,26.87445263,13.76687407,1.558489968,18627.95278,2.929587367,18.96388889,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=14594&Num=ysj,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Lycium,schizocalyx,2.5156,708.3552632,18.45291599,26.15108329,10.32404822,1.11236046,20103.43333,2.765069304,31.2469697,SI,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=14595&Num=9kQ,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802664
Lycium,schweinfurthii,1.8248,334.9705882,18.7598576,24.68936691,14.10923172,1.449207643,18784.12563,3.31120127,34.47462406,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=60770&Num=NX2,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3802664
Lycium,shawii,0.924,433.3291139,22.80339947,28.47809473,16.01466642,1.37532618,19741.51121,2.938810613,12.5182212,SC,shrub,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=14596&Num=Yih,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/7300058
Nicotiana,acuminata,0.098,526.7234043,11.03678561,17.08326766,4.845734539,0.849677238,15768.00911,3.314529795,61.22526042,SC,herb,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=16110&Num=TZ8,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Nicotiana,affinis,0.1,269,7.689296,13.11926575,3.584128776,0.893592775,12633.72917,3.1115528,102.1041667,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=16111&Num=6OL,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/9791325
Nicotiana,africana,0.08,560.75,17.76350075,26.34712675,11.68526515,1.000708905,19517.53125,2.86492715,24.61458333,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=40042&Num=8oW,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/3800624
Nicotiana,alata,0.1,329.5704225,10.66075715,14.22911154,5.834119662,1.054818998,11308.20761,3.635671511,73.56925566,SC,herb,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=16112&Num=SPA,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Nicotiana,attenuata,0.135,347.8275862,10.27353903,17.30512216,2.395026847,0.644461648,16691.87294,3.363340739,35.7326856,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=16113&Num=sok,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/2928765
