Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,Growth_source,ID,tip,an.pe
Carthamus,dentatus,18.0872,476.3918919,15.10730761,19.91787283,9.380534017,1.103382585,16733.7069,3.141830621,56.6091954,SC,herb,Kew_SID,McPherson et al. (2004),GBIF,http://data.kew.org/sid/SidServlet?ID=41720&Num=gkI,http://www.nrcresearchpress.com/doi/pdf/10.4141/P03-150,https://www.gbif.org/species/3138215,CO0851,NA,
Carthamus,flavescens,29.6,376,17.44756933,24.04129,9.960063,1.2388521,19897.91667,1.90775,64.25,SI,herb,Kew_SID,Imrie et al. (1971),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0852,NA,
Carthamus,lanatus,11,499.0093184,14.78100258,20.3826176,9.287211993,1.087188536,16295.27138,3.403262214,49.93184022,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0855,NA,
Carthamus,nitidus,16.3,350.7555556,20.14231289,26.79814109,14.25027146,1.267201267,19368.85145,2.713266322,17.56521739,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=4789&Num=bI5,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3138360,CO0856,NA,
Carthamus,persicus,14.218,354.4285714,19.67304314,26.194142,12.61506238,1.07103175,19704.625,2.959724,8.854166667,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=4791&Num=6kI,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3138225,CO0859,NA,
Carthamus,tenuis,14.13,346.6707317,19.33939474,24.68777851,13.39208666,1.351438715,18892.09109,2.933065119,37.23062016,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=41721&Num=7LL,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3138255,CO0860,NA,
Carthamus,turkestanicus,28.65,311.25,11.99393969,16.65492017,4.726406267,0.765424645,16292.40278,2.04844795,24.58333333,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=54527&Num=3B4,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3138305,CO0863,NA,
Crepis,capillaris,0.24,298.3256915,10.05760432,14.15147909,5.890499647,0.976827735,11835.43699,3.938205514,75.6700285,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1476,NA,
Crepis,foetida,0.41,295.2929721,11.70224776,16.39513883,7.190200238,1.028041143,13671.56592,3.432670788,60.96700275,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1481,NA,
Crepis,paludosa,0.66,196.1063918,5.44465773,9.135660591,1.724179688,0.771969765,9541.863072,3.655162207,75.39482999,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1498,NA,
Crepis,sancta,0.1522,279.7960526,12.24924252,16.92978342,7.579856096,1.060917221,13824.00427,3.376958493,59.15540245,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1507,NA,
Crepis,tectorum,0.2688,196.7378512,5.258165077,9.209984912,1.358920054,0.779496372,9718.601939,3.538002504,58.34843537,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1512,NA,
Flaveria,anomala,0.2493,396.3898305,18.67333724,26.83024894,10.58995109,1.29882002,17534.69892,2.980373229,36.61290323,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=41871&Num=Kr2,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3086831,CO1958,NA,
Flaveria,bidentis,0.21,660.1762712,18.19820585,25.00725335,11.50119161,1.367388488,17889.63238,2.922621137,56.04219409,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1959,NA,
Flaveria,cronquistii,0.094,426,19.77026043,28.710131,14.04854867,1.555722167,16530.16667,1.910694433,61.77777778,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1960,NA,
Flaveria,pringlei,0.125,430.3478261,20.8732795,27.66999755,13.41385794,1.449343114,17433.41667,1.88194025,65.93560606,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=10445&Num=oP0,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3086832,CO1961,NA,
Flaveria,ramosissima,0.085,429.9230769,20.27745415,28.34899617,14.02905208,1.496206883,16716.36111,1.892434,58.04166667,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=32574&Num=qh0,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3086853,CO1962,NA,
Flaveria,trinervia,0.5,563.2284024,22.660215,29.73012538,15.53074259,1.442599506,19987.67999,2.85339103,50.95685279,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO1963,NA,
Hypochaeris,arenaria,0.867,801.5294118,6.464618494,10.78287794,2.344877614,0.664898719,12170.42708,5.4845391,89.34375,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=47386&Num=4FC,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3093818,CO2664,NA,
Hypochaeris,glabra,0.68,476.6392582,13.44558401,18.47162464,8.428301558,1.067883498,14874.1306,3.684187052,57.14549613,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2668,NA,
Hypochaeris,maculata,1.45,206.744599,6.147777858,10.02129273,2.16377554,0.793824634,10311.70559,3.440980935,65.06500211,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2669,NA,
Hypochaeris,radicata,0.8,382.7224774,11.07237631,15.50959372,6.745203768,1.018674454,12868.43821,3.89487701,78.87882947,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2671,NA,
Hypochaeris,salzmanniana,0.7128,325.4375,17.08051644,21.5674055,13.28311225,1.427470738,17444.98958,3.531701813,58.94791667,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=33722&Num=96H,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3093690,CO2673,NA,
Layia,carnosa,0.884,302.6666667,11.92731922,16.82831417,6.10694795,0.970720017,15306.41667,3.752463767,94.52777778,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2874,NA,
Layia,chrysanthemoides,0.743,307.5,13.7332025,21.60906189,7.035504,1.011195819,16538.00926,3.097288467,69.12962963,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2875,NA,
Layia,glandulosa,0.72,313.0958231,12.70924368,20.08031961,4.584764629,0.66725446,17572.72542,3.347456253,27.96708333,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2877,NA,
Layia,heterotricha,0.388,327.8076923,13.97866748,21.99957506,5.452496224,0.817187744,18160.96569,3.1576422,38.61764706,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2878,NA,
Layia,platyglossa,0.727,326.4292683,15.37242517,21.88864502,8.312523573,1.06694903,17305.2071,3.320852971,43.01980198,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO2879,NA,
Madia,elegans,6.773,305.0049261,12.21789946,18.89161827,5.373430811,0.825543212,16473.22093,3.217830999,74.49224806,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO3028,NA,
Madia,exigua,0.589,283.6278027,10.16298684,15.85831325,4.304739583,0.819322442,14539.55582,3.11405324,75.98191824,SC,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO3031,NA,
