Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,Growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,growthURL,tip,an.pe
Cardamine,pratensis,0.4264,203.8998752,5.942415209,9.6625646,2.222252243,0.813435544,9828.603579,3.980105326,70.19922319,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cochlearia,danica,0.231,218.4477047,8.977756131,12.32509874,5.630352312,0.968116121,9934.652035,4.783018849,70.39473892,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cochlearia,macrorrhiza,1.22,251.5,9.9435325,14.20608325,5.6800935,0.949344775,11550.16667,3.17120815,48.375,SI,herb,Kew_SID,Koch et al. (2003),GBIF,http://data.kew.org/sid/SidServlet?ID=46131&Num=8bC,https://link.springer.com/content/pdf/10.1007%2Fs00606-003-0048-4.pdf,https://www.gbif.org/species/5373260,NA,NA
Cochlearia,officinalis,0.602,176.9103074,4.431539322,7.320854007,1.542124438,0.760644246,8834.730319,5.267412667,91.42790838,SI,herb,Kew_SID,PASCHKE et al. (2002),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cochlearia,pyrenaica,0.6908,232.2431193,7.54533279,11.17016548,3.920521852,0.859086645,10287.60627,4.375966356,110.6131498,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Diplotaxis,catholica,0.2,306.814554,15.67889422,21.20696018,10.15070927,1.171584451,16565.16002,3.006216778,51.282277,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Diplotaxis,erucoides,0.2,293.3476954,13.85998033,19.07963489,8.640286541,1.112998652,15181.72562,3.399954542,50.84777889,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Diplotaxis,harra,0.07964,345.5156951,18.67637846,24.57766152,12.77503935,1.23967344,18451.4929,3.401136906,21.25037369,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Diplotaxis,muralis,0.2378,295.8167504,10.41479669,14.58742853,6.242063508,1.000262078,11966.48054,3.971974234,62.85100503,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Diplotaxis,siifolia,0.3,313.4835165,16.06088129,21.36002523,10.76176959,1.244828391,16962.76374,3.269162286,46.99084249,SI,herb,Kew_SID,Batra et al. (1990),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
